Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,5864,0x00000137C95CFEC0,0,0,Hardware Composed: Independent Flip,0,5160.301436,33.763,25.074,0.228,10.522,13.530,0.312,65.593,2505,9001,41,47,NA,NA,NA,NA,NA,NA,0.464,0.816,0.464,36,63,63,NA,4434,27, 47,59.367, 65,100,0,72,0,52,0,27,0,98,0,98,0,33,0,19,0,12,10,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5160.334405,32.969,79.976,1.698,10.688,60.537,0.324,112.221,2505,9001,41,47,NA,NA,NA,NA,NA,NA,0.476,0.835,0.476,36,63,63,NA,4434,27, 47,59.367, 65,100,0,72,0,52,0,27,0,98,0,98,0,33,0,19,0,12,10,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5160.367964,33.559,16.691,0.225,19.088,43.668,0.569,96.057,2505,9001,41,47,NA,NA,NA,NA,NA,NA,0.467,0.820,0.467,36,63,63,NA,4434,27, 47,59.367, 65,100,0,72,0,52,0,27,0,98,0,98,0,33,0,19,0,12,10,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5160.400985,33.021,25.027,0.354,11.573,35.675,0.350,87.779,2505,9001,41,47,NA,NA,NA,NA,NA,NA,0.475,0.834,0.475,36,63,63,NA,4434,27, 47,59.367, 65,100,0,72,0,52,0,27,0,98,0,98,0,33,0,19,0,12,10,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5160.434476,33.491,33.330,0.234,11.421,35.514,0.341,87.772,2505,9001,41,47,NA,NA,NA,NA,NA,NA,0.468,0.822,0.468,36,63,63,NA,4434,27, 48,61.946, 65,100,0,72,0,52,0,27,0,98,0,98,0,33,0,19,0,12,10,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5160.467728,33.252,33.341,0.264,11.607,35.603,0.349,87.780,2505,9001,41,47,NA,NA,NA,NA,NA,NA,0.472,0.828,0.472,36,63,63,NA,4434,27, 48,61.946, 65,100,0,72,0,52,0,27,0,98,0,98,0,33,0,19,0,12,10,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5160.501700,33.972,33.329,0.243,10.788,34.959,0.318,87.778,2505,9001,41,47,NA,NA,NA,NA,NA,NA,0.462,0.811,0.462,36,63,63,NA,4434,27, 48,61.946, 65,100,0,72,0,52,0,27,0,98,0,98,0,33,0,19,0,12,10,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5160.534402,32.702,33.345,0.219,12.175,35.603,0.372,87.795,2505,9001,41,47,NA,NA,NA,NA,NA,NA,0.479,0.842,0.479,36,63,63,NA,4434,27, 48,61.946, 65,100,0,72,0,52,0,27,0,98,0,98,0,33,0,19,0,12,10,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5160.567930,33.529,24.928,0.222,9.334,27.002,0.278,79.929,2505,9001,41,47,NA,NA,NA,NA,NA,NA,0.468,0.821,0.468,36,63,63,NA,4434,27, 48,61.946, 65,100,0,72,0,52,0,27,0,98,0,98,0,33,0,19,0,12,10,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5160.601170,33.240,33.344,0.195,9.755,27.106,0.293,79.897,2505,9001,41,47,NA,NA,NA,NA,NA,NA,0.472,0.828,0.472,36,63,63,NA,4434,27, 48,61.946, 65,100,0,72,0,52,0,27,0,98,0,98,0,33,0,19,0,12,10,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
