Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,2560x1440,D3D12,0,11720,0x000001610132BAA0,0,0,Hardware Composed: Independent Flip,0,3617.460838,12.373,23.831,0.184,11.006,11.090,0.890,32.894,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.532,0.697,0.532,115,151,151,NA,4380,29, 48,63.773, 65,100,0,60,0,50,0,39,0,55,63,97,0,39,0,31,0,18,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,2560x1440,D3D12,0,11720,0x000001610132BAA0,0,0,Hardware Composed: Independent Flip,0,3617.472845,12.007,52.562,0.253,11.702,51.645,0.975,73.167,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.548,0.718,0.548,115,151,151,NA,4380,29, 48,63.773, 65,100,0,60,0,50,0,39,0,55,63,97,0,39,0,31,0,18,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3617.485110,12.266,8.346,0.717,10.912,47.726,0.890,69.258,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.537,0.703,0.537,115,151,151,NA,4380,29, 48,63.773, 65,100,0,60,0,50,0,39,0,55,63,97,0,39,0,31,0,18,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3617.497643,12.533,16.584,0.154,27.056,51.777,2.159,73.644,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.525,0.688,0.525,115,151,151,NA,4380,29, 48,63.773, 65,100,0,60,0,50,0,39,0,55,63,97,0,39,0,31,0,18,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3617.509576,11.932,8.395,0.177,28.172,48.240,2.361,69.792,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.552,0.723,0.552,115,151,151,NA,4380,29, 48,63.773, 65,100,0,60,0,50,0,39,0,55,63,97,0,39,0,31,0,18,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3617.529309,19.733,16.619,0.267,21.465,45.126,1.088,74.341,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.334,0.437,0.334,115,151,151,NA,4380,29, 48,63.773, 65,100,0,60,0,50,0,39,0,55,63,97,0,39,0,31,0,18,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3617.541841,12.533,8.362,0.149,21.389,40.956,1.707,63.079,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.525,0.688,0.525,115,151,151,NA,4380,29, 48,63.773, 65,100,0,60,0,50,0,39,0,55,63,97,0,39,0,31,0,18,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3617.554661,12.820,16.653,0.189,21.394,44.789,1.669,66.688,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.513,0.673,0.513,115,151,151,NA,4380,29, 48,63.773, 65,100,0,60,0,50,0,39,0,55,63,97,0,39,0,31,0,18,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3617.567802,13.140,8.334,0.184,21.114,39.982,1.607,62.144,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.501,0.656,0.501,115,151,151,NA,4380,29, 50,66.587, 65,100,0,60,0,50,0,39,0,55,63,97,0,39,0,31,0,18,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3617.580513,12.711,16.665,0.176,21.480,43.936,1.690,66.206,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.518,0.678,0.518,115,151,151,NA,4380,29, 50,66.587, 65,100,0,60,0,50,0,39,0,55,63,97,0,39,0,31,0,18,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
