Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2070.688827,51.876,101.396,0.222,45.777,97.871,0.882,171.294,2760,9001,99,63,NA,NA,NA,NA,NA,NA,0.118,0.156,0.118,123,163,163,NA,4437,29, 52,58.375, 65,100,1,68,1,58,1,33,1,46,64,75,36,26,1,15,1,13,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2070.740116,51.289,16.605,0.176,45.668,63.187,0.890,137.255,2760,9001,99,63,NA,NA,NA,NA,NA,NA,0.119,0.158,0.119,123,163,163,NA,4437,29, 52,60.537, 65,100,1,68,1,58,1,33,1,46,64,75,36,26,1,15,1,13,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2070.788604,48.488,58.288,0.199,53.972,72.987,1.113,145.191,2760,9001,99,63,NA,NA,NA,NA,NA,NA,0.126,0.167,0.126,123,163,163,NA,4437,29, 52,60.537, 65,100,1,68,1,58,1,33,1,46,64,75,36,26,1,15,1,13,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2070.838585,49.981,66.707,0.224,58.689,89.713,1.174,161.513,2760,9001,99,63,NA,NA,NA,NA,NA,NA,0.123,0.164,0.123,122,162,162,NA,4431,27, 52,60.537, 65,100,1,66,0,44,0,33,0,48,61,95,6,34,0,25,0,10,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2070.888804,50.219,41.655,0.231,61.451,81.148,1.224,152.838,2760,9001,99,63,NA,NA,NA,NA,NA,NA,0.122,0.163,0.122,122,162,162,NA,4431,27, 52,60.537, 65,100,1,66,0,44,0,33,0,48,61,95,6,34,0,25,0,10,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2070.938889,50.085,49.972,0.262,63.263,81.036,1.263,152.959,2760,9001,99,63,NA,NA,NA,NA,NA,NA,0.123,0.163,0.123,122,162,162,NA,4431,27, 50,60.208, 65,100,1,66,0,44,0,33,0,48,61,95,6,34,0,25,0,10,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2070.989974,51.085,58.329,0.155,70.055,88.279,1.371,162.529,2760,9001,99,63,NA,NA,NA,NA,NA,NA,0.120,0.160,0.120,122,162,162,NA,4431,27, 50,60.208, 65,100,1,66,0,44,0,33,0,48,61,95,6,34,0,25,0,10,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2071.041855,51.881,58.329,0.190,71.028,94.727,1.369,170.624,2760,9001,99,63,NA,NA,NA,NA,NA,NA,0.119,0.158,0.119,122,162,162,NA,4431,27, 50,60.208, 65,100,1,66,0,44,0,33,0,48,61,95,6,34,0,25,0,10,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2071.091494,49.639,50.004,0.166,73.889,95.093,1.489,168.970,2760,9001,99,63,NA,NA,NA,NA,NA,NA,0.124,0.165,0.124,122,162,162,NA,4431,27, 50,60.208, 65,100,1,66,0,44,0,33,0,48,61,95,6,34,0,25,0,10,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2071.144389,52.895,50.036,0.245,73.319,92.233,1.386,167.417,2760,9001,99,63,NA,NA,NA,NA,NA,NA,0.116,0.155,0.116,122,162,162,NA,4431,27, 51,59.176, 65,100,1,66,0,44,0,33,0,48,61,95,6,34,0,25,0,10,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
