Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,19380,0x00000000627FF420,0,0,Hardware Composed: Independent Flip,0,5586.913829,17.034,16.836,0.226,0.363,1.729,0.021,45.405,2790,9001,60,51,NA,NA,NA,NA,NA,NA,0.606,0.895,0.606,65,96,96,NA,4362,14, 35,39.233, 65,30,1,20,1,18,1,7,1,63,1,78,1,1,1,1,1,18,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,19380,0x00000000627FF420,0,0,Hardware Composed: Independent Flip,0,5586.930454,16.626,17.820,0.214,2.863,2.924,0.172,63.225,2790,9001,60,51,NA,NA,NA,NA,NA,NA,0.621,0.917,0.621,65,96,96,NA,4362,14, 35,39.233, 65,30,1,20,1,18,1,7,1,63,1,78,1,1,1,1,1,18,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,19380,0x00000000627FF420,0,0,Hardware Composed: Independent Flip,0,5586.947367,16.913,57.022,4.856,4.844,43.034,0.286,86.912,2790,9001,60,51,NA,NA,NA,NA,NA,NA,0.610,0.901,0.610,65,96,96,NA,4362,14, 35,39.233, 65,30,1,20,1,18,1,7,1,63,1,78,1,1,1,1,1,18,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19380,0x00000000627FF420,0,0,Composed: Flip,0,5586.968622,21.255,8.230,0.176,1.891,30.009,0.089,95.141,2790,9001,60,51,NA,NA,NA,NA,NA,NA,0.486,0.717,0.486,65,96,96,NA,4362,14, 35,39.233, 65,30,1,20,1,18,1,7,1,63,1,78,1,1,1,1,1,18,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19380,0x00000000627FF420,0,0,Composed: Flip,0,5586.990798,22.177,16.641,0.238,1.425,24.473,0.064,77.007,2790,9001,60,51,NA,NA,NA,NA,NA,NA,0.466,0.687,0.466,65,96,96,NA,4362,14, 35,39.233, 65,30,1,20,1,18,1,7,1,63,1,78,1,1,1,1,1,18,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19380,0x00000000627FF420,0,0,Composed: Flip,0,5587.007399,16.600,16.697,0.212,3.137,24.570,0.189,93.705,2790,9001,60,51,NA,NA,NA,NA,NA,NA,0.622,0.918,0.622,65,96,96,NA,4362,14, 35,39.233, 65,30,1,20,1,18,1,7,1,63,1,78,1,1,1,1,1,18,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19380,0x00000000627FF420,0,0,Composed: Flip,0,5587.014766,7.367,8.297,0.119,0.567,25.500,0.077,68.671,2790,9001,60,51,NA,NA,NA,NA,NA,NA,1.401,2.069,1.401,65,96,96,NA,4362,14, 35,39.233, 65,30,1,20,1,18,1,7,1,63,1,78,1,1,1,1,1,18,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19380,0x00000000627FF420,0,0,Composed: Flip,0,5587.031260,16.494,16.841,0.256,2.264,25.847,0.137,85.513,2790,9001,60,51,NA,NA,NA,NA,NA,NA,0.626,0.924,0.626,65,96,96,NA,4362,14, 35,39.233, 65,30,1,20,1,18,1,7,1,63,1,78,1,1,1,1,1,18,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19380,0x00000000627FF420,0,0,Composed: Flip,0,5587.048481,17.221,16.530,0.148,0.929,25.156,0.054,68.709,2790,9001,60,51,NA,NA,NA,NA,NA,NA,0.599,0.885,0.599,65,96,96,NA,4362,14, 35,39.233, 65,30,1,20,1,18,1,7,1,63,1,78,1,1,1,1,1,18,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19380,0x00000000627FF420,0,0,Composed: Flip,0,5587.065111,16.630,16.743,0.562,0.541,25.268,0.033,85.452,2790,9001,60,51,NA,NA,NA,NA,NA,NA,0.621,0.917,0.621,65,96,96,NA,4362,14, 35,39.233, 65,30,1,20,1,18,1,7,1,63,1,78,1,1,1,1,1,18,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
