Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,2560x1440,D3D12,0,19244,0x000000005E13EDD0,0,0,Hardware Composed: Independent Flip,1,3019.135473,11.101,0.000,0.269,2.518,0.000,0.227,NA,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.608,0.826,0.608,109,148,148,NA,4380,43, 56,73.719, 65,100,30,70,27,64,32,66,1,85,38,78,52,62,1,53,1,30,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,2560x1440,D3D12,0,19244,0x000000005E13EDD0,0,0,Hardware Composed: Independent Flip,1,3019.143764,8.291,0.000,0.238,1.879,0.000,0.227,NA,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.815,1.105,0.815,109,148,148,NA,4380,43, 56,73.719, 65,100,30,70,27,64,32,66,1,85,38,78,52,62,1,53,1,30,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,2560x1440,D3D12,0,19244,0x000000005E13EDD0,0,0,Hardware Composed: Independent Flip,0,3019.154909,11.144,29.695,0.304,2.619,2.675,0.235,NA,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.606,0.822,0.606,109,148,148,NA,4380,43, 56,73.719, 65,100,30,70,27,64,32,66,1,85,38,78,52,62,1,53,1,30,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,2560x1440,D3D12,0,19244,0x000000005E13EDD0,0,0,Hardware Composed: Independent Flip,0,3019.165315,10.406,12.750,0.369,2.832,5.019,0.272,NA,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.649,0.881,0.649,109,148,148,NA,4380,43, 56,73.719, 65,100,30,70,27,64,32,66,1,85,38,78,52,62,1,53,1,30,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,2560x1440,D3D12,0,19244,0x000000005E13EDD0,0,0,Hardware Composed: Independent Flip,1,3019.176589,11.275,0.000,5.787,18.711,0.000,1.660,NA,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.599,0.813,0.599,109,148,148,NA,4380,43, 56,73.719, 65,100,30,70,27,64,32,66,1,85,38,78,52,62,1,53,1,30,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,2560x1440,D3D12,0,19244,0x000000005E13EDD0,0,0,Hardware Composed: Independent Flip,0,3019.194189,17.600,74.444,0.197,2.389,50.588,0.136,NA,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.384,0.521,0.384,109,148,148,NA,4380,43, 56,73.719, 65,100,30,70,27,64,32,66,1,85,38,78,52,62,1,53,1,30,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19244,0x000000005E13EDD0,0,0,Composed: Flip,1,3019.220549,26.360,0.000,0.604,1.317,0.000,0.050,NA,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.256,0.348,0.256,109,148,148,NA,4380,43, 56,73.719, 65,100,30,70,27,64,32,66,1,85,38,78,52,62,1,53,1,30,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19244,0x000000005E13EDD0,0,0,Composed: Flip,0,3019.221316,0.766,16.744,0.154,1.806,40.206,2.358,NA,2775,9001,99,62,NA,NA,NA,NA,NA,NA,8.814,11.961,8.814,109,148,148,NA,4380,43, 56,73.719, 65,100,30,70,27,64,32,66,1,85,38,78,52,62,1,53,1,30,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19244,0x000000005E13EDD0,0,0,Composed: Flip,1,3019.256415,35.099,0.000,0.261,1.207,0.000,0.034,NA,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.192,0.261,0.192,109,148,148,NA,4380,43, 56,73.719, 65,100,30,70,27,64,32,66,1,85,38,78,52,62,1,53,1,30,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19244,0x000000005E13EDD0,0,0,Composed: Flip,0,3019.256785,0.370,16.597,0.097,0.910,21.334,2.458,NA,2775,9001,99,62,NA,NA,NA,NA,NA,NA,18.247,24.762,18.247,109,148,148,NA,4380,43, 56,73.719, 65,100,30,70,27,64,32,66,1,85,38,78,52,62,1,53,1,30,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
