Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,4268,0x0000000AE4ACC5E0,0,512,Hardware Composed: Independent Flip,0,157.907568,11.870,11.505,0.139,33.610,33.702,2.832,NA,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.547,0.743,0.547,113,153,153,NA,4518,5, 32,30.442, 65,20,0,18,0,0,0,0,0,29,0,28,0,0,0,0,0,3,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,4268,0x0000000AE4ACC5E0,0,512,Hardware Composed: Independent Flip,0,157.920406,12.838,49.920,0.145,33.166,70.785,2.583,NA,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.506,0.687,0.506,113,153,153,NA,4518,5, 32,30.442, 65,20,0,18,0,0,0,0,0,29,0,28,0,0,0,0,0,3,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x0000000AE4ACC5E0,0,512,Composed: Flip,1,157.932880,12.474,0.000,0.347,33.328,0.000,2.672,NA,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.521,0.707,0.521,113,153,153,NA,4518,5, 32,30.442, 65,20,0,18,0,0,0,0,0,29,0,28,0,0,0,0,0,3,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x0000000AE4ACC5E0,0,512,Composed: Flip,0,157.944496,11.616,8.261,0.160,33.598,54.956,2.892,NA,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.559,0.759,0.559,113,153,153,NA,4518,5, 32,30.442, 65,20,0,18,0,0,0,0,0,29,0,28,0,0,0,0,0,3,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x0000000AE4ACC5E0,0,512,Composed: Flip,0,157.956683,12.188,25.033,0.156,47.722,67.801,3.916,NA,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.533,0.724,0.533,113,153,153,NA,4518,5, 32,30.442, 65,20,0,18,0,0,0,0,0,29,0,28,0,0,0,0,0,3,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x0000000AE4ACC5E0,0,512,Composed: Flip,0,157.970019,13.336,16.607,0.143,48.742,71.072,3.655,NA,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.487,0.661,0.487,113,153,153,NA,4518,5, 32,30.442, 65,20,0,18,0,0,0,0,0,29,0,28,0,0,0,0,0,3,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x0000000AE4ACC5E0,0,512,Composed: Flip,0,157.981807,11.788,8.360,0.144,49.767,67.644,4.222,NA,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.551,0.748,0.551,113,153,153,NA,4518,5, 32,30.442, 65,20,0,18,0,0,0,0,0,29,0,28,0,0,0,0,0,3,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x0000000AE4ACC5E0,0,512,Composed: Flip,0,158.008196,26.389,24.977,0.193,34.914,66.232,1.323,NA,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.246,0.334,0.246,113,153,153,NA,4518,5, 32,35.268, 65,20,0,18,0,0,0,0,0,29,0,28,0,0,0,0,0,3,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x0000000AE4ACC5E0,0,512,Composed: Flip,0,158.021588,13.392,8.369,0.122,34.836,61.209,2.601,NA,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.485,0.659,0.485,113,153,153,NA,4518,5, 32,35.268, 65,20,0,18,0,0,0,0,0,29,0,28,0,0,0,0,0,3,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x0000000AE4ACC5E0,0,512,Composed: Flip,0,158.034740,13.152,8.330,0.129,34.779,56.387,2.644,NA,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.494,0.671,0.494,113,153,153,NA,4518,5, 32,35.268, 65,20,0,18,0,0,0,0,0,29,0,28,0,0,0,0,0,3,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
