Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,17500,0x0000014305F9D4D0,0,512,Hardware Composed: Independent Flip,0,2283.199542,17.036,17.152,0.190,10.394,10.596,0.610,26.704,2775,9001,74,59,NA,NA,NA,NA,NA,NA,0.451,0.623,0.451,94,130,130,NA,4206,11, 37,36.665, 65,24,1,28,1,1,1,1,1,40,1,36,1,1,1,1,1,21,17,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,17500,0x0000014305F9D4D0,0,512,Hardware Composed: Independent Flip,0,2283.216145,16.603,16.521,0.198,10.255,10.513,0.618,26.584,2775,9001,74,59,NA,NA,NA,NA,NA,NA,0.463,0.639,0.463,94,130,130,NA,4206,11, 37,36.665, 65,24,1,28,1,1,1,1,1,40,1,36,1,1,1,1,1,21,17,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,17500,0x0000014305F9D4D0,0,512,Hardware Composed: Independent Flip,0,2283.233799,17.653,52.766,0.384,10.066,45.626,0.570,62.659,2775,9001,74,59,NA,NA,NA,NA,NA,NA,0.435,0.601,0.435,94,130,130,NA,4206,11, 37,36.665, 65,24,1,28,1,1,1,1,1,40,1,36,1,1,1,1,1,21,17,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,2283.249668,15.869,8.324,0.191,10.960,38.081,0.691,54.374,2775,9001,74,59,NA,NA,NA,NA,NA,NA,0.484,0.669,0.484,94,130,130,NA,4206,11, 37,36.665, 65,24,1,28,1,1,1,1,1,40,1,36,1,1,1,1,1,21,17,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,2283.266616,16.948,16.657,0.181,14.163,37.789,0.836,54.255,2775,9001,74,59,NA,NA,NA,NA,NA,NA,0.454,0.626,0.454,94,130,130,NA,4206,11, 37,36.665, 65,24,1,28,1,1,1,1,1,40,1,36,1,1,1,1,1,21,17,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,2283.283151,16.534,8.353,0.156,10.792,29.608,0.653,45.997,2775,9001,74,59,NA,NA,NA,NA,NA,NA,0.465,0.642,0.465,94,130,130,NA,4206,11, 37,36.665, 65,24,1,28,1,1,1,1,1,40,1,36,1,1,1,1,1,21,17,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,2283.299400,16.249,16.675,0.190,11.321,30.034,0.697,46.461,2775,9001,74,59,NA,NA,NA,NA,NA,NA,0.473,0.653,0.473,94,130,130,NA,4206,11, 37,36.665, 65,24,1,28,1,1,1,1,1,40,1,36,1,1,1,1,1,21,17,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,2283.316219,16.819,16.684,0.141,10.840,29.899,0.645,46.443,2775,9001,74,59,NA,NA,NA,NA,NA,NA,0.457,0.631,0.457,94,130,130,NA,4206,11, 42,46.189, 65,24,1,28,1,1,1,1,1,40,1,36,1,1,1,1,1,21,17,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,2283.332674,16.455,16.620,0.138,11.664,30.065,0.709,46.461,2775,9001,74,59,NA,NA,NA,NA,NA,NA,0.467,0.645,0.467,94,130,130,NA,4206,11, 42,46.189, 65,24,1,28,1,1,1,1,1,40,1,36,1,1,1,1,1,21,17,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,2283.349195,16.521,16.657,0.147,10.745,30.200,0.650,46.434,2775,9001,74,59,NA,NA,NA,NA,NA,NA,0.465,0.642,0.465,94,130,130,NA,4206,11, 42,46.189, 65,24,1,28,1,1,1,1,1,40,1,36,1,1,1,1,1,21,17,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
