Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,4452,0x0000017E265AF4B0,0,512,Hardware Composed: Independent Flip,0,128.951103,17.020,16.889,0.180,33.638,33.661,1.976,56.442,2760,9001,99,66,NA,NA,NA,NA,NA,NA,0.368,0.494,0.368,119,159,159,NA,4248,9, 34,35.904, 65,23,0,25,0,16,0,0,0,39,0,31,0,0,0,0,0,17,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,4452,0x0000017E265AF4B0,0,512,Hardware Composed: Independent Flip,0,128.967669,16.566,36.338,0.312,33.914,53.432,2.047,74.570,2760,9001,99,66,NA,NA,NA,NA,NA,NA,0.378,0.507,0.378,119,159,159,NA,4248,9, 34,35.904, 65,23,0,25,0,16,0,0,0,39,0,31,0,0,0,0,0,17,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,4452,0x0000017E265AF4B0,0,512,Hardware Composed: Independent Flip,0,128.984770,17.101,8.371,0.204,34.403,44.702,2.012,66.282,2760,9001,99,66,NA,NA,NA,NA,NA,NA,0.366,0.491,0.366,119,159,159,NA,4248,9, 34,35.904, 65,23,0,25,0,16,0,0,0,39,0,31,0,0,0,0,0,17,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,4452,0x0000017E265AF4B0,0,512,Hardware Composed: Independent Flip,0,129.001674,16.903,16.668,0.238,35.531,44.466,2.102,65.928,2760,9001,99,66,NA,NA,NA,NA,NA,NA,0.370,0.497,0.370,119,159,159,NA,4248,9, 34,35.904, 65,23,0,25,0,16,0,0,0,39,0,31,0,0,0,0,0,17,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,4452,0x0000017E265AF4B0,0,512,Hardware Composed: Independent Flip,0,129.019260,17.586,24.979,0.215,36.233,51.860,2.060,73.971,2760,9001,99,66,NA,NA,NA,NA,NA,NA,0.356,0.478,0.356,119,159,159,NA,4248,9, 34,35.904, 65,23,0,25,0,16,0,0,0,39,0,31,0,0,0,0,0,17,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,4452,0x0000017E265AF4B0,0,512,Hardware Composed: Independent Flip,0,129.037301,18.042,16.673,0.224,35.699,50.491,1.979,73.056,2760,9001,99,66,NA,NA,NA,NA,NA,NA,0.347,0.466,0.347,119,159,159,NA,4248,9, 34,35.904, 65,23,0,25,0,16,0,0,0,39,0,31,0,0,0,0,0,17,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,4452,0x0000017E265AF4B0,0,512,Hardware Composed: Independent Flip,0,129.055082,17.780,16.673,0.221,35.150,49.384,1.977,71.717,2760,9001,99,66,NA,NA,NA,NA,NA,NA,0.352,0.473,0.352,119,159,159,NA,4248,9, 34,35.904, 65,23,0,25,0,16,0,0,0,39,0,31,0,0,0,0,0,17,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,4452,0x0000017E265AF4B0,0,512,Hardware Composed: Independent Flip,0,129.073088,18.006,16.671,0.217,34.724,48.049,1.928,70.577,2760,9001,99,66,NA,NA,NA,NA,NA,NA,0.348,0.467,0.348,119,159,159,NA,4248,9, 34,35.904, 65,23,0,25,0,16,0,0,0,39,0,31,0,0,0,0,0,17,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,4452,0x0000017E265AF4B0,0,512,Hardware Composed: Independent Flip,0,129.090317,17.229,16.684,0.235,35.258,47.504,2.046,69.301,2760,9001,99,66,NA,NA,NA,NA,NA,NA,0.363,0.488,0.363,119,159,159,NA,4248,9, 34,35.904, 65,23,0,25,0,16,0,0,0,39,0,31,0,0,0,0,0,17,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,4452,0x0000017E265AF4B0,0,512,Hardware Composed: Independent Flip,0,129.107901,17.584,16.685,0.225,35.275,46.605,2.006,68.753,2760,9001,99,66,NA,NA,NA,NA,NA,NA,0.356,0.478,0.356,119,159,159,NA,4248,9, 34,35.904, 65,23,0,25,0,16,0,0,0,39,0,31,0,0,0,0,0,17,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
