Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,19720,0x000001DD8C3A50B0,0,512,Hardware Composed: Independent Flip,0,7283.959219,33.710,32.784,0.243,18.336,18.393,0.544,107.237,945,5001,66,48,NA,NA,NA,NA,NA,NA,0.670,1.400,0.670,21,44,44,NA,4211,4, 28,26.808, 65,13,0,0,0,0,0,0,0,27,0,19,0,0,0,0,0,10,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,19720,0x000001DD8C3A50B0,0,512,Hardware Composed: Independent Flip,0,7283.993273,34.054,33.579,0.185,17.528,17.918,0.515,107.460,945,5001,66,48,NA,NA,NA,NA,NA,NA,0.663,1.386,0.663,21,44,44,NA,4211,4, 28,26.808, 65,13,0,0,0,0,0,0,0,27,0,19,0,0,0,0,0,10,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19720,0x000001DD8C3A50B0,0,512,Composed: Flip,0,7284.025763,32.490,61.887,0.309,20.067,47.315,0.618,135.976,945,5001,66,48,NA,NA,NA,NA,NA,NA,0.695,1.453,0.695,21,44,44,NA,4211,4, 28,26.808, 65,13,0,0,0,0,0,0,0,27,0,19,0,0,0,0,0,10,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19720,0x000001DD8C3A50B0,0,512,Composed: Flip,0,7284.059297,33.534,24.987,0.994,21.549,38.768,0.643,127.585,945,5001,66,48,NA,NA,NA,NA,NA,NA,0.673,1.408,0.673,21,44,44,NA,4211,4, 28,26.808, 65,13,0,0,0,0,0,0,0,27,0,19,0,0,0,0,0,10,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19720,0x000001DD8C3A50B0,0,512,Composed: Flip,0,7284.092167,32.870,33.330,0.209,21.334,39.228,0.649,127.128,945,5001,66,48,NA,NA,NA,NA,NA,NA,0.687,1.436,0.687,21,44,44,NA,4211,4, 28,26.808, 65,13,0,0,0,0,0,0,0,27,0,19,0,0,0,0,0,10,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19720,0x000001DD8C3A50B0,0,512,Composed: Flip,0,7284.125426,33.259,41.655,0.229,23.417,47.624,0.704,136.336,945,5001,66,48,NA,NA,NA,NA,NA,NA,0.679,1.419,0.679,21,44,44,NA,4211,4, 28,26.808, 65,13,0,0,0,0,0,0,0,27,0,19,0,0,0,0,0,10,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19720,0x000001DD8C3A50B0,0,512,Composed: Flip,0,7284.158851,33.425,25.073,0.203,21.356,39.272,0.639,128.244,945,5001,66,48,NA,NA,NA,NA,NA,NA,0.676,1.412,0.676,21,44,44,NA,4211,4, 28,26.808, 65,13,0,0,0,0,0,0,0,27,0,19,0,0,0,0,0,10,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19720,0x000001DD8C3A50B0,0,512,Composed: Flip,0,7284.192167,33.316,33.344,0.235,21.015,39.300,0.631,128.424,945,5001,66,48,NA,NA,NA,NA,NA,NA,0.678,1.417,0.678,21,44,44,NA,4211,4, 30,33.677, 65,13,0,0,0,0,0,0,0,27,0,19,0,0,0,0,0,10,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19720,0x000001DD8C3A50B0,0,512,Composed: Flip,0,7284.225217,33.050,24.961,0.163,10.586,31.212,0.320,117.839,945,5001,66,48,NA,NA,NA,NA,NA,NA,0.683,1.428,0.683,21,44,44,NA,4211,4, 30,33.677, 65,13,0,0,0,0,0,0,0,27,0,19,0,0,0,0,0,10,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19720,0x000001DD8C3A50B0,0,512,Composed: Flip,0,7284.258801,33.585,33.343,0.211,8.019,30.970,0.239,117.838,975,5001,63,48,NA,NA,NA,NA,NA,NA,0.672,1.406,0.672,21,44,44,NA,4234,7, 30,33.677, 65,17,1,2,1,1,1,1,1,33,1,29,1,1,1,1,1,14,10,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
