Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1280x720,D3D12,0,10952,0x000002280DFCA170,0,0,Hardware Composed: Independent Flip,0,7844.438411,16.573,16.317,0.228,0.219,0.281,0.013,NA,1395,5001,39,44,NA,NA,NA,NA,NA,NA,1.686,3.737,1.686,16,35,35,NA,4415,10, 38,31.757, 65,19,1,1,1,1,1,1,1,67,1,63,1,1,1,1,1,15,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1280x720,D3D12,0,10952,0x000002280DFCA170,0,0,Hardware Composed: Independent Flip,0,7844.455134,16.724,17.083,0.264,0.252,0.640,0.015,NA,1395,5001,39,44,NA,NA,NA,NA,NA,NA,1.671,3.703,1.671,16,35,35,NA,4415,10, 38,31.757, 65,19,1,1,1,1,1,1,1,67,1,63,1,1,1,1,1,15,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1280x720,D3D12,0,10952,0x000002280DFCA170,0,0,Hardware Composed: Independent Flip,0,7844.471778,16.643,16.389,0.327,0.315,0.386,0.019,NA,1395,5001,39,44,NA,NA,NA,NA,NA,NA,1.679,3.721,1.679,16,35,35,NA,4415,10, 38,31.757, 65,19,1,1,1,1,1,1,1,67,1,63,1,1,1,1,1,15,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1280x720,D3D12,0,10952,0x000002280DFCA170,0,0,Hardware Composed: Independent Flip,0,7844.488631,16.853,16.832,0.195,0.308,0.364,0.018,NA,1395,5001,39,44,NA,NA,NA,NA,NA,NA,1.658,3.675,1.658,16,35,35,NA,4415,10, 38,31.757, 65,19,1,1,1,1,1,1,1,67,1,63,1,1,1,1,1,15,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1280x720,D3D12,0,10952,0x000002280DFCA170,0,0,Hardware Composed: Independent Flip,0,7844.505362,16.731,26.839,10.409,10.389,10.472,0.621,NA,1395,5001,39,44,NA,NA,NA,NA,NA,NA,1.670,3.702,1.670,16,35,35,NA,4415,10, 50,33.079, 65,19,1,1,1,1,1,1,1,67,1,63,1,1,1,1,1,15,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7844.528151,22.790,83.756,0.160,0.153,71.439,0.007,NA,1395,5001,39,44,NA,NA,NA,NA,NA,NA,1.226,2.718,1.226,16,35,35,NA,4415,10, 50,33.079, 65,19,1,1,1,1,1,1,1,67,1,63,1,1,1,1,1,15,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7844.546479,18.327,8.259,0.190,37.553,61.370,2.049,NA,1395,5001,39,44,NA,NA,NA,NA,NA,NA,1.524,3.379,1.524,16,35,35,NA,4415,10, 50,33.079, 65,19,1,1,1,1,1,1,1,67,1,63,1,1,1,1,1,15,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7844.601419,54.941,16.643,0.327,1.035,23.073,0.019,NA,1395,5001,39,44,NA,NA,NA,NA,NA,NA,0.508,1.127,0.508,16,35,35,NA,4415,10, 50,33.079, 65,19,1,1,1,1,1,1,1,67,1,63,1,1,1,1,1,15,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,1,7844.629220,27.801,0.000,0.211,0.290,0.000,0.010,NA,1395,5001,39,44,NA,NA,NA,NA,NA,NA,1.005,2.228,1.005,16,35,35,NA,4415,10, 50,33.079, 65,19,1,1,1,1,1,1,1,67,1,63,1,1,1,1,1,15,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7844.629535,0.315,25.052,0.105,0.119,20.010,0.377,NA,1395,5001,39,44,NA,NA,NA,NA,NA,NA,88.745,196.743,88.745,16,35,35,NA,4415,10, 50,33.079, 65,19,1,1,1,1,1,1,1,67,1,63,1,1,1,1,1,15,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
