Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,18228,0x0000028EF97A0030,0,0,Hardware Composed: Independent Flip,0,85.024294,18.445,18.642,0.188,23.356,23.484,1.266,73.056,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.353,0.473,0.353,114,153,153,NA,4283,8, 36,34.413, 65,24,0,19,0,13,0,0,0,0,35,40,0,0,0,0,0,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,18228,0x0000028EF97A0030,0,0,Hardware Composed: Independent Flip,0,85.042847,18.553,18.753,0.197,23.547,23.684,1.269,72.679,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.351,0.471,0.351,114,153,153,NA,4283,8, 36,34.413, 65,24,0,19,0,13,0,0,0,0,35,40,0,0,0,0,0,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,18228,0x0000028EF97A0030,0,0,Hardware Composed: Independent Flip,0,85.061504,18.657,76.534,0.197,23.512,81.561,1.260,130.944,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.349,0.468,0.349,114,153,153,NA,4283,8, 36,34.413, 65,24,0,19,0,13,0,0,0,0,35,40,0,0,0,0,0,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18228,0x0000028EF97A0030,0,0,Composed: Flip,0,85.080425,18.922,8.331,0.197,23.290,70.970,1.231,120.490,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.344,0.461,0.344,114,153,153,NA,4283,8, 36,34.413, 65,24,0,19,0,13,0,0,0,0,35,40,0,0,0,0,0,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18228,0x0000028EF97A0030,0,0,Composed: Flip,0,85.099494,19.069,8.232,0.183,22.946,60.134,1.203,109.893,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.342,0.458,0.342,114,153,153,NA,4283,8, 36,34.413, 65,24,0,19,0,13,0,0,0,0,35,40,0,0,0,0,0,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18228,0x0000028EF97A0030,0,0,Composed: Flip,0,85.118150,18.657,8.261,0.167,26.259,49.739,1.408,99.636,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.349,0.468,0.349,114,153,153,NA,4283,8, 36,34.413, 65,24,0,19,0,13,0,0,0,0,35,40,0,0,0,0,0,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18228,0x0000028EF97A0030,0,0,Composed: Flip,0,85.136944,18.793,41.659,0.581,28.267,72.605,1.504,122.454,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.347,0.465,0.347,114,153,153,NA,4283,8, 36,34.413, 65,24,0,19,0,13,0,0,0,0,35,40,0,0,0,0,0,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18228,0x0000028EF97A0030,0,0,Composed: Flip,1,85.158512,21.569,0.000,0.151,26.275,0.000,1.218,NA,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.302,0.405,0.302,114,153,153,NA,4283,8, 36,34.413, 65,24,0,19,0,13,0,0,0,0,35,40,0,0,0,0,0,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18228,0x0000028EF97A0030,0,0,Composed: Flip,0,85.177801,19.288,33.335,0.173,26.694,65.083,1.384,121.578,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.338,0.453,0.338,114,153,153,NA,4283,8, 40,49.182, 65,24,0,19,0,13,0,0,0,0,35,40,0,0,0,0,0,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18228,0x0000028EF97A0030,0,0,Composed: Flip,0,85.197440,19.639,16.673,0.164,26.863,62.116,1.368,116.870,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.332,0.445,0.332,114,153,153,NA,4283,8, 40,49.182, 65,24,0,19,0,13,0,0,0,0,35,40,0,0,0,0,0,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
