Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1280x720,D3D12,0,20092,0x000002387A249850,0,0,Hardware Composed: Independent Flip,1,5411.721712,4.038,0.000,0.185,2.285,0.000,0.566,NA,2775,9001,97,58,NA,NA,NA,NA,NA,NA,2.076,2.783,2.076,88,119,119,NA,4316,25, 45,61.983, 65,59,0,54,0,37,0,30,0,47,52,55,38,27,0,23,0,31,14,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1280x720,D3D12,0,20092,0x000002387A249850,0,0,Hardware Composed: Independent Flip,0,5411.725758,4.047,8.449,0.180,1.993,2.106,0.492,NA,2775,9001,97,58,NA,NA,NA,NA,NA,NA,2.072,2.777,2.072,88,119,119,NA,4316,25, 45,61.983, 65,59,0,54,0,37,0,30,0,47,52,55,38,27,0,23,0,31,14,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1280x720,D3D12,0,20092,0x000002387A249850,0,0,Hardware Composed: Independent Flip,1,5411.730206,4.447,0.000,0.186,2.313,0.000,0.520,NA,2775,9001,97,58,NA,NA,NA,NA,NA,NA,1.885,2.527,1.885,88,119,119,NA,4316,25, 45,61.983, 65,59,0,54,0,37,0,30,0,47,52,55,38,27,0,23,0,31,14,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1280x720,D3D12,0,20092,0x000002387A249850,0,0,Hardware Composed: Independent Flip,0,5411.734230,4.024,8.307,0.173,1.784,1.941,0.443,NA,2775,9001,97,58,NA,NA,NA,NA,NA,NA,2.083,2.793,2.083,88,119,119,NA,4316,25, 45,61.983, 65,59,0,54,0,37,0,30,0,47,52,55,38,27,0,23,0,31,14,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1280x720,D3D12,0,20092,0x000002387A249850,0,0,Hardware Composed: Independent Flip,1,5411.738342,4.112,0.000,0.208,2.265,0.000,0.551,NA,2775,9001,97,58,NA,NA,NA,NA,NA,NA,2.039,2.733,2.039,88,119,119,NA,4316,25, 45,61.983, 65,59,0,54,0,37,0,30,0,47,52,55,38,27,0,23,0,31,14,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1280x720,D3D12,0,20092,0x000002387A249850,0,0,Hardware Composed: Independent Flip,0,5411.742414,4.073,8.177,0.180,1.922,1.933,0.472,NA,2775,9001,97,58,NA,NA,NA,NA,NA,NA,2.059,2.760,2.059,88,119,119,NA,4316,25, 45,61.983, 65,59,0,54,0,37,0,30,0,47,52,55,38,27,0,23,0,31,14,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1280x720,D3D12,0,20092,0x000002387A249850,0,0,Hardware Composed: Independent Flip,1,5411.746633,4.219,0.000,0.207,2.303,0.000,0.546,NA,2775,9001,97,58,NA,NA,NA,NA,NA,NA,1.987,2.664,1.987,88,119,119,NA,4316,25, 45,61.983, 65,59,0,54,0,37,0,30,0,47,52,55,38,27,0,23,0,31,14,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1280x720,D3D12,0,20092,0x000002387A249850,0,0,Hardware Composed: Independent Flip,0,5411.750729,4.096,8.255,0.173,1.863,1.873,0.455,NA,2775,9001,97,58,NA,NA,NA,NA,NA,NA,2.047,2.744,2.047,88,119,119,NA,4316,25, 45,61.983, 65,59,0,54,0,37,0,30,0,47,52,55,38,27,0,23,0,31,14,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1280x720,D3D12,0,20092,0x000002387A249850,0,0,Hardware Composed: Independent Flip,1,5411.754813,4.084,0.000,0.196,2.248,0.000,0.550,NA,2775,9001,97,58,NA,NA,NA,NA,NA,NA,2.053,2.752,2.053,88,119,119,NA,4316,25, 44,60.204, 65,59,0,54,0,37,0,30,0,47,52,55,38,27,0,23,0,31,14,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1280x720,D3D12,0,20092,0x000002387A249850,0,0,Hardware Composed: Independent Flip,0,5411.758855,4.042,8.285,0.194,1.907,2.033,0.472,NA,2775,9001,97,58,NA,NA,NA,NA,NA,NA,2.075,2.781,2.075,88,119,119,NA,4316,25, 44,60.204, 65,59,0,54,0,37,0,30,0,47,52,55,38,27,0,23,0,31,14,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
