Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,2560x1440,D3D12,0,3656,0x000001F1A78A5030,0,0,Hardware Composed: Independent Flip,0,1481.954772,18.822,56.224,0.200,23.906,61.328,1.270,114.620,2775,9001,99,63,NA,NA,NA,NA,NA,NA,0.349,0.469,0.349,113,152,152,NA,4265,11, 38,35.722, 65,28,1,23,1,17,1,1,1,42,1,43,1,1,1,1,1,19,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3656,0x000001F1A78A5030,0,0,Composed: Flip,0,1481.974111,19.339,8.317,0.180,23.849,50.306,1.233,104.019,2775,9001,99,63,NA,NA,NA,NA,NA,NA,0.340,0.457,0.340,113,152,152,NA,4265,11, 38,35.722, 65,28,1,23,1,17,1,1,1,42,1,43,1,1,1,1,1,19,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3656,0x000001F1A78A5030,0,0,Composed: Flip,0,1481.992566,18.455,16.628,0.190,25.212,48.478,1.366,101.660,2775,9001,99,63,NA,NA,NA,NA,NA,NA,0.356,0.479,0.356,113,152,152,NA,4265,11, 38,35.722, 65,28,1,23,1,17,1,1,1,42,1,43,1,1,1,1,1,19,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3656,0x000001F1A78A5030,0,0,Composed: Flip,0,1482.020361,27.795,16.654,0.175,16.653,37.337,0.599,99.055,2775,9001,99,63,NA,NA,NA,NA,NA,NA,0.236,0.318,0.236,113,152,152,NA,4265,11, 38,35.722, 65,28,1,23,1,17,1,1,1,42,1,43,1,1,1,1,1,19,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3656,0x000001F1A78A5030,0,0,Composed: Flip,0,1482.031044,10.684,16.681,0.185,25.916,43.334,2.426,97.190,2775,9001,99,63,NA,NA,NA,NA,NA,NA,0.615,0.827,0.615,113,152,152,NA,4265,11, 38,35.722, 65,28,1,23,1,17,1,1,1,42,1,43,1,1,1,1,1,19,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3656,0x000001F1A78A5030,0,0,Composed: Flip,0,1482.051365,20.320,24.989,0.198,26.089,48.003,1.284,94.763,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.322,0.431,0.322,114,152,152,NA,4259,9, 38,35.722, 65,26,0,20,0,15,0,0,0,39,0,44,0,0,0,0,0,17,11,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3656,0x000001F1A78A5030,0,0,Composed: Flip,0,1482.070857,19.492,25.051,0.162,26.622,53.561,1.366,101.308,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.335,0.450,0.335,114,152,152,NA,4259,9, 38,35.722, 65,26,0,20,0,15,0,0,0,39,0,44,0,0,0,0,0,17,11,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3656,0x000001F1A78A5030,0,0,Composed: Flip,0,1482.090815,19.958,24.892,0.254,25.336,58.495,1.269,107.678,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.328,0.439,0.328,114,152,152,NA,4259,9, 38,35.722, 65,26,0,20,0,15,0,0,0,39,0,44,0,0,0,0,0,17,11,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3656,0x000001F1A78A5030,0,0,Composed: Flip,0,1482.111355,20.540,33.434,0.155,24.277,71.389,1.182,122.612,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.318,0.427,0.318,114,152,152,NA,4259,9, 40,40.021, 65,26,0,20,0,15,0,0,0,39,0,44,0,0,0,0,0,17,11,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3656,0x000001F1A78A5030,0,0,Composed: Flip,0,1482.131029,19.674,8.218,0.163,24.051,59.934,1.223,112.337,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.332,0.446,0.332,114,152,152,NA,4259,9, 40,40.021, 65,26,0,20,0,15,0,0,0,39,0,44,0,0,0,0,0,17,11,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
