Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,0,12492,0x00000232409A7AD0,0,0,Hardware Composed: Independent Flip,0,7089.937016,19.212,18.639,0.193,7.811,7.827,0.407,32.556,2775,9001,66,58,NA,NA,NA,NA,NA,NA,0.488,0.673,0.488,77,106,106,NA,4310,15, 38,48.719, 65,35,1,26,1,20,1,1,18,60,1,67,1,1,1,1,1,20,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,0,12492,0x00000232409A7AD0,0,0,Hardware Composed: Independent Flip,0,7089.950437,13.421,15.298,0.199,7.728,9.704,0.576,31.186,2775,9001,66,58,NA,NA,NA,NA,NA,NA,0.698,0.964,0.698,77,106,106,NA,4310,15, 38,48.719, 65,35,1,26,1,20,1,1,18,60,1,67,1,1,1,1,1,20,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,0,12492,0x00000232409A7AD0,0,0,Hardware Composed: Independent Flip,0,7089.967586,17.150,15.144,0.189,7.679,7.699,0.448,29.666,2775,9001,66,58,NA,NA,NA,NA,NA,NA,0.546,0.754,0.546,77,106,106,NA,4310,15, 38,48.719, 65,35,1,26,1,20,1,1,18,60,1,67,1,1,1,1,1,20,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,0,12492,0x00000232409A7AD0,0,0,Hardware Composed: Independent Flip,0,7089.984286,16.700,18.601,0.202,7.706,9.600,0.461,31.598,2775,9001,66,58,NA,NA,NA,NA,NA,NA,0.561,0.775,0.561,77,106,106,NA,4310,15, 38,48.719, 65,35,1,26,1,20,1,1,18,60,1,67,1,1,1,1,1,20,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,0,12492,0x00000232409A7AD0,0,0,Hardware Composed: Independent Flip,0,7090.001693,17.407,52.322,1.984,7.119,44.516,0.409,67.253,2775,9001,66,58,NA,NA,NA,NA,NA,NA,0.538,0.743,0.538,77,106,106,NA,4310,15, 38,48.719, 65,35,1,26,1,20,1,1,18,60,1,67,1,1,1,1,1,20,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12492,0x00000232409A7AD0,0,0,Composed: Flip,0,7090.017421,15.728,8.289,0.231,8.030,37.076,0.511,59.879,2775,9001,66,58,NA,NA,NA,NA,NA,NA,0.596,0.822,0.596,77,106,106,NA,4310,15, 38,48.719, 65,35,1,26,1,20,1,1,18,60,1,67,1,1,1,1,1,20,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12492,0x00000232409A7AD0,0,0,Composed: Flip,0,7090.034203,16.782,16.659,0.187,12.147,36.954,0.724,59.873,2775,9001,66,58,NA,NA,NA,NA,NA,NA,0.558,0.771,0.558,77,106,106,NA,4310,15, 38,48.719, 65,35,1,26,1,20,1,1,18,60,1,67,1,1,1,1,1,20,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12492,0x00000232409A7AD0,0,0,Composed: Flip,0,7090.050762,16.560,8.359,0.220,7.861,28.754,0.475,51.569,2775,9001,66,58,NA,NA,NA,NA,NA,NA,0.566,0.781,0.566,77,106,106,NA,4310,15, 38,48.719, 65,35,1,26,1,20,1,1,18,60,1,67,1,1,1,1,1,20,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12492,0x00000232409A7AD0,0,0,Composed: Flip,0,7090.067487,16.725,16.689,0.172,8.225,28.718,0.492,51.590,2775,9001,66,58,NA,NA,NA,NA,NA,NA,0.560,0.773,0.560,77,106,106,NA,4310,15, 38,48.719, 65,35,1,26,1,20,1,1,18,60,1,67,1,1,1,1,1,20,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12492,0x00000232409A7AD0,0,0,Composed: Flip,0,7090.084026,16.539,16.652,0.169,8.333,28.831,0.504,51.575,2775,9001,66,58,NA,NA,NA,NA,NA,NA,0.567,0.782,0.567,77,106,106,NA,4310,15, 38,48.719, 65,35,1,26,1,20,1,1,18,60,1,67,1,1,1,1,1,20,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
