Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,12568,0x0000022187F800E0,0,512,Hardware Composed: Independent Flip,0,7050.877156,16.631,16.079,16.470,16.558,16.607,0.996,NA,2775,9001,64,57,NA,NA,NA,NA,NA,NA,0.560,0.778,0.560,77,107,107,NA,4372,19, 39,49.116, 65,30,10,21,4,15,4,12,4,58,42,49,54,14,0,10,0,18,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,12568,0x0000022187F800E0,0,512,Hardware Composed: Independent Flip,0,7050.893814,16.658,18.205,16.537,18.097,18.153,1.086,NA,2775,9001,64,57,NA,NA,NA,NA,NA,NA,0.559,0.777,0.559,77,107,107,NA,4372,19, 37,49.957, 65,30,10,21,4,15,4,12,4,58,42,49,54,14,0,10,0,18,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,12568,0x0000022187F800E0,0,512,Hardware Composed: Independent Flip,0,7050.910505,16.691,15.274,16.473,16.554,16.736,0.992,NA,2775,9001,59,57,NA,NA,NA,NA,NA,NA,0.552,0.768,0.552,78,108,108,NA,4388,22, 37,49.957, 65,33,13,25,9,18,9,15,8,50,60,61,44,15,1,12,1,19,14,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,12568,0x0000022187F800E0,0,512,Hardware Composed: Independent Flip,0,7050.927124,16.619,20.344,20.419,20.403,20.461,1.228,NA,2775,9001,59,57,NA,NA,NA,NA,NA,NA,0.555,0.771,0.555,78,108,108,NA,4388,22, 37,49.957, 65,33,13,25,9,18,9,15,8,50,60,61,44,15,1,12,1,19,14,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,12568,0x0000022187F800E0,0,512,Hardware Composed: Independent Flip,0,7050.947716,20.592,72.325,12.595,12.683,72.194,0.616,NA,2775,9001,59,57,NA,NA,NA,NA,NA,NA,0.448,0.622,0.448,78,108,108,NA,4388,22, 37,49.957, 65,33,13,25,9,18,9,15,8,50,60,61,44,15,1,12,1,19,14,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022187F800E0,0,512,Composed: Flip,0,7050.960464,12.748,8.449,28.324,28.313,67.895,2.221,NA,2775,9001,59,57,NA,NA,NA,NA,NA,NA,0.723,1.005,0.723,78,108,108,NA,4388,22, 37,49.957, 65,33,13,25,9,18,9,15,8,50,60,61,44,15,1,12,1,19,14,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022187F800E0,0,512,Composed: Flip,0,7050.988963,28.500,8.210,4.655,4.814,47.606,0.169,NA,2775,9001,59,57,NA,NA,NA,NA,NA,NA,0.323,0.450,0.323,78,108,108,NA,4388,22, 37,49.957, 65,33,13,25,9,18,9,15,8,50,60,61,44,15,1,12,1,19,14,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022187F800E0,0,512,Composed: Flip,1,7050.993719,4.756,0.000,16.541,26.512,0.000,5.574,NA,2775,9001,59,57,NA,NA,NA,NA,NA,NA,1.938,2.694,1.938,78,108,108,NA,4388,22, 37,49.957, 65,33,13,25,9,18,9,15,8,50,60,61,44,15,1,12,1,19,14,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022187F800E0,0,512,Composed: Flip,0,7051.020398,26.678,8.330,6.616,7.118,24.501,0.267,NA,2775,9001,59,57,NA,NA,NA,NA,NA,NA,0.345,0.480,0.345,78,108,108,NA,4388,22, 37,49.957, 65,33,13,25,9,18,9,15,8,50,60,61,44,15,1,12,1,19,14,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022187F800E0,0,512,Composed: Flip,0,7051.056919,36.521,33.368,0.310,0.921,21.348,0.025,NA,2775,9001,59,57,NA,NA,NA,NA,NA,NA,0.252,0.351,0.252,78,108,108,NA,4388,22, 37,49.957, 65,33,13,25,9,18,9,15,8,50,60,61,44,15,1,12,1,19,14,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
