Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x00000220522B5680,0,512,Composed: Flip,0,7376.134798,15.641,16.715,0.110,0.156,21.332,0.010,55.793,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.666,0.974,0.666,65,95,95,NA,4314,14, 33,43.567, 65,24,1,22,0,16,0,14,0,58,16,34,27,12,0,8,0,19,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x00000220522B5680,0,512,Composed: Flip,0,7376.151392,16.594,16.623,0.146,0.139,21.361,0.008,72.416,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.628,0.918,0.628,65,95,95,NA,4314,14, 33,43.567, 65,24,1,22,0,16,0,14,0,58,16,34,27,12,0,8,0,19,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x00000220522B5680,0,512,Composed: Flip,0,7376.168290,16.898,16.761,0.122,0.158,21.224,0.009,55.547,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.617,0.902,0.617,65,95,95,NA,4314,14, 33,43.567, 65,24,1,22,0,16,0,14,0,58,16,34,27,12,0,8,0,19,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x00000220522B5680,0,512,Composed: Flip,0,7376.184917,16.627,16.571,0.205,0.223,21.168,0.013,72.118,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.627,0.916,0.627,65,95,95,NA,4314,14, 33,43.567, 65,24,1,22,0,16,0,14,0,58,16,34,27,12,0,8,0,19,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x00000220522B5680,0,512,Composed: Flip,0,7376.202850,17.932,25.022,4.404,4.395,28.258,0.245,61.530,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.581,0.850,0.581,65,95,95,NA,4314,14, 33,43.567, 65,24,1,22,0,16,0,14,0,58,16,34,27,12,0,8,0,19,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x00000220522B5680,0,512,Composed: Flip,0,7376.223786,20.936,16.696,0.192,2.562,24.018,0.122,78.226,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.498,0.728,0.498,65,95,95,NA,4314,14, 33,43.567, 65,24,1,22,0,16,0,14,0,58,16,34,27,12,0,8,0,19,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x00000220522B5680,0,512,Composed: Flip,0,7376.239550,15.764,16.618,0.115,0.108,24.872,0.007,59.297,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.661,0.966,0.661,65,95,95,NA,4314,14, 33,43.567, 65,24,1,22,0,16,0,14,0,58,16,34,27,12,0,8,0,19,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x00000220522B5680,0,512,Composed: Flip,0,7376.256160,16.610,16.713,0.133,2.463,24.975,0.148,76.011,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.628,0.917,0.628,65,95,95,NA,4314,14, 33,43.567, 65,24,1,22,0,16,0,14,0,58,16,34,27,12,0,8,0,19,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x00000220522B5680,0,512,Composed: Flip,0,7376.268415,12.255,8.345,0.092,0.185,21.065,0.015,53.197,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.851,1.243,0.851,65,95,95,NA,4314,14, 33,43.567, 65,24,1,22,0,16,0,14,0,58,16,34,27,12,0,8,0,19,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x00000220522B5680,0,512,Composed: Flip,0,7376.284966,16.551,16.604,0.150,0.142,21.119,0.009,69.801,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.630,0.921,0.630,65,95,95,NA,4314,14, 34,45.745, 65,24,1,22,0,16,0,14,0,58,16,34,27,12,0,8,0,19,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
