Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,19304,0x00000258A769E0E0,0,512,Hardware Composed: Independent Flip,0,3536.972518,18.119,18.495,0.185,31.730,32.350,1.751,64.651,2760,9001,99,66,NA,NA,NA,NA,NA,NA,0.357,0.471,0.357,117,154,154,NA,4270,20, 41,49.217, 65,28,20,23,18,20,16,18,15,26,29,26,24,19,14,19,0,23,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,19304,0x00000258A769E0E0,0,512,Hardware Composed: Independent Flip,0,3536.991515,18.997,75.498,0.180,30.896,88.852,1.626,122.385,2760,9001,99,66,NA,NA,NA,NA,NA,NA,0.341,0.449,0.341,117,154,154,NA,4270,20, 41,49.217, 65,28,20,23,18,20,16,18,15,26,29,26,24,19,14,19,0,23,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19304,0x00000258A769E0E0,0,512,Composed: Flip,0,3537.009136,17.621,8.310,0.204,29.920,79.541,1.698,111.721,2760,9001,99,66,NA,NA,NA,NA,NA,NA,0.367,0.485,0.367,117,154,154,NA,4270,20, 41,49.217, 65,28,20,23,18,20,16,18,15,26,29,26,24,19,14,19,0,23,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19304,0x00000258A769E0E0,0,512,Composed: Flip,0,3537.027572,18.436,16.687,0.193,53.120,77.792,2.881,110.422,2760,9001,99,66,NA,NA,NA,NA,NA,NA,0.351,0.463,0.351,117,154,154,NA,4270,20, 41,49.217, 65,28,20,23,18,20,16,18,15,26,29,26,24,19,14,19,0,23,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19304,0x00000258A769E0E0,0,512,Composed: Flip,0,3537.044270,16.698,16.640,0.164,56.862,77.735,3.405,108.858,2760,9001,99,66,NA,NA,NA,NA,NA,NA,0.388,0.511,0.388,117,154,154,NA,4270,20, 41,49.217, 65,28,20,23,18,20,16,18,15,26,29,26,24,19,14,19,0,23,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19304,0x00000258A769E0E0,0,512,Composed: Flip,0,3537.086131,41.861,24.952,0.173,34.901,60.826,0.834,117.130,2760,9001,99,66,NA,NA,NA,NA,NA,NA,0.155,0.204,0.155,117,154,154,NA,4270,20, 37,48.922, 65,28,20,23,18,20,16,18,15,26,29,26,24,19,14,19,0,23,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19304,0x00000258A769E0E0,0,512,Composed: Flip,0,3537.105483,19.352,25.218,0.228,32.692,66.692,1.689,100.687,2760,9001,99,66,NA,NA,NA,NA,NA,NA,0.335,0.441,0.335,117,154,154,NA,4270,20, 37,48.922, 65,28,20,23,18,20,16,18,15,26,29,26,24,19,14,19,0,23,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19304,0x00000258A769E0E0,0,512,Composed: Flip,0,3537.125578,20.095,24.764,0.158,32.820,71.361,1.633,105.046,2760,9001,99,66,NA,NA,NA,NA,NA,NA,0.322,0.425,0.322,117,154,154,NA,4270,20, 37,48.922, 65,28,20,23,18,20,16,18,15,26,29,26,24,19,14,19,0,23,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19304,0x00000258A769E0E0,0,512,Composed: Flip,0,3537.143784,18.206,25.084,0.144,33.338,78.239,1.831,110.293,2760,9001,99,66,NA,NA,NA,NA,NA,NA,0.356,0.469,0.356,117,154,154,NA,4270,20, 37,48.922, 65,28,20,23,18,20,16,18,15,26,29,26,24,19,14,19,0,23,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19304,0x00000258A769E0E0,0,512,Composed: Flip,0,3537.164079,20.295,8.258,0.173,33.814,66.202,1.666,101.327,2760,9001,99,66,NA,NA,NA,NA,NA,NA,0.319,0.421,0.319,117,154,154,NA,4270,20, 37,48.922, 65,28,20,23,18,20,16,18,15,26,29,26,24,19,14,19,0,23,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
