Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,1,18336,0x000001D574DC8BD0,0,0,Hardware Composed: Independent Flip,0,250.277065,12.307,12.080,0.127,2.118,2.118,0.172,63.900,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.571,0.796,0.571,102,142,142,NA,4435,12, 37,35.913, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,1,18336,0x000001D574DC8BD0,0,0,Hardware Composed: Independent Flip,0,250.289327,12.262,12.705,0.244,2.562,2.562,0.209,51.328,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.573,0.799,0.573,102,142,142,NA,4435,12, 37,35.913, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,1,18336,0x000001D574DC8BD0,0,0,Hardware Composed: Independent Flip,0,250.301638,12.311,12.055,0.160,2.306,2.306,0.187,63.383,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.571,0.796,0.571,102,142,142,NA,4435,12, 37,35.913, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,1,18336,0x000001D574DC8BD0,0,0,Hardware Composed: Independent Flip,0,250.314059,12.421,12.036,0.240,1.922,1.922,0.155,50.210,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.566,0.789,0.566,102,142,142,NA,4435,12, 37,35.913, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,1,18336,0x000001D574DC8BD0,0,0,Hardware Composed: Independent Flip,0,250.326390,12.332,12.588,0.156,2.178,2.178,0.177,62.797,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.570,0.795,0.570,102,142,142,NA,4435,12, 37,35.913, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,1,18336,0x000001D574DC8BD0,0,0,Hardware Composed: Independent Flip,0,250.339080,12.689,12.757,0.238,2.246,2.246,0.177,50.389,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.554,0.772,0.554,102,142,142,NA,4435,12, 37,34.422, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,1,18336,0x000001D574DC8BD0,0,0,Hardware Composed: Independent Flip,0,250.351400,12.320,11.995,0.155,1.921,1.921,0.156,62.384,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.570,0.795,0.570,102,142,142,NA,4435,12, 37,34.422, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,1,18336,0x000001D574DC8BD0,0,0,Hardware Composed: Independent Flip,0,250.363628,12.228,10.695,0.221,0.388,0.388,0.032,47.996,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.575,0.801,0.575,102,142,142,NA,4435,12, 37,34.422, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,1,18336,0x000001D574DC8BD0,0,0,Hardware Composed: Independent Flip,0,250.375925,12.298,14.233,0.150,2.323,2.323,0.189,62.229,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.571,0.797,0.571,102,142,142,NA,4435,12, 37,34.422, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,250.389384,13.458,28.745,0.203,1.853,17.610,0.138,65.950,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.522,0.728,0.522,102,142,142,NA,4435,12, 37,34.422, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,250.401723,12.339,8.351,0.141,2.489,13.623,0.202,74.302,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.570,0.794,0.570,102,142,142,NA,4435,12, 37,34.422, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,250.416917,15.194,16.651,0.204,2.424,15.080,0.160,65.718,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.462,0.645,0.462,102,142,142,NA,4435,12, 37,34.422, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,250.429240,12.323,8.346,0.166,1.717,11.102,0.139,74.064,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.570,0.795,0.570,102,142,142,NA,4435,12, 37,34.422, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,250.444312,15.072,16.651,0.210,2.448,12.681,0.162,65.861,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.466,0.650,0.466,102,142,142,NA,4435,12, 37,34.422, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,250.456630,12.318,16.665,0.122,2.877,17.028,0.234,82.526,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.570,0.796,0.570,102,142,142,NA,4435,12, 37,34.422, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,250.471864,15.234,16.681,0.206,3.085,18.475,0.203,74.602,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.461,0.643,0.461,102,142,142,NA,4435,12, 37,34.422, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,250.484252,12.388,8.319,0.185,2.531,14.405,0.204,82.921,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.567,0.791,0.567,102,142,142,NA,4435,12, 37,34.422, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,250.499039,14.787,16.685,0.174,2.396,16.304,0.162,75.050,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.475,0.663,0.475,102,142,142,NA,4435,12, 37,34.422, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,250.511444,12.405,8.315,0.233,2.197,12.214,0.177,83.365,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.566,0.790,0.566,102,142,142,NA,4435,12, 37,34.422, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,250.526796,15.352,16.684,0.168,2.390,13.546,0.156,75.735,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.458,0.638,0.458,102,142,142,NA,4435,12, 37,34.422, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,250.539119,12.323,16.644,0.178,2.681,17.867,0.218,92.379,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.570,0.795,0.570,102,142,142,NA,4435,12, 37,34.422, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,250.554118,14.999,8.367,0.166,2.453,11.236,0.164,75.676,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.469,0.653,0.469,102,142,142,NA,4435,12, 35,39.338, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,250.566438,12.320,16.678,0.164,2.468,15.593,0.200,92.354,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.570,0.795,0.570,102,142,142,NA,4435,12, 35,39.338, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,250.581679,15.241,16.649,0.372,3.160,17.001,0.207,83.475,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.461,0.643,0.461,102,142,142,NA,4435,12, 35,39.338, 65,24,1,14,1,1,3,1,2,76,1,77,1,1,1,1,1,16,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
