Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,7392,0x000001665E7D7240,0,0,Hardware Composed: Independent Flip,0,404.567194,18.065,17.726,0.370,17.852,18.038,0.988,35.807,2760,9001,98,62,NA,NA,NA,NA,NA,NA,0.350,0.467,0.350,118,158,158,NA,4355,9, 42,34.749, 65,22,0,0,15,0,0,0,0,72,0,42,0,0,0,0,0,16,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,7392,0x000001665E7D7240,0,0,Composed: Flip,0,404.585298,18.103,45.516,0.214,17.999,45.451,0.994,63.633,2760,9001,98,62,NA,NA,NA,NA,NA,NA,0.349,0.466,0.349,118,158,158,NA,4355,9, 42,34.749, 65,22,0,0,15,0,0,0,0,72,0,42,0,0,0,0,0,16,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,7392,0x000001665E7D7240,0,0,Composed: Flip,0,404.602638,17.340,8.305,0.182,19.189,36.416,1.107,54.233,2760,9001,98,62,NA,NA,NA,NA,NA,NA,0.365,0.486,0.365,118,158,158,NA,4355,9, 42,34.749, 65,22,0,0,15,0,0,0,0,72,0,42,0,0,0,0,0,16,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,7392,0x000001665E7D7240,0,0,Composed: Flip,0,404.620906,18.268,25.012,0.166,20.214,43.160,1.107,61.606,2760,9001,98,62,NA,NA,NA,NA,NA,NA,0.346,0.462,0.346,118,158,158,NA,4355,9, 42,34.749, 65,22,0,0,15,0,0,0,0,72,0,42,0,0,0,0,0,16,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,7392,0x000001665E7D7240,0,0,Composed: Flip,0,404.637202,16.296,16.649,0.216,23.249,43.513,1.427,60.671,2760,9001,98,62,NA,NA,NA,NA,NA,NA,0.388,0.518,0.388,118,158,158,NA,4355,9, 38,38.555, 65,22,0,0,15,0,0,0,0,72,0,42,0,0,0,0,0,16,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,7392,0x000001665E7D7240,0,0,Composed: Flip,0,404.654268,17.066,16.648,0.186,25.350,43.095,1.485,60.055,2760,9001,98,62,NA,NA,NA,NA,NA,NA,0.370,0.494,0.370,118,158,158,NA,4355,9, 38,38.555, 65,22,0,0,15,0,0,0,0,72,0,42,0,0,0,0,0,16,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,7392,0x000001665E7D7240,0,0,Composed: Flip,0,404.672130,17.862,24.983,0.159,26.653,50.216,1.492,67.344,2760,9001,98,62,NA,NA,NA,NA,NA,NA,0.354,0.472,0.354,118,158,158,NA,4355,9, 38,38.555, 65,22,0,0,15,0,0,0,0,72,0,42,0,0,0,0,0,16,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,7392,0x000001665E7D7240,0,0,Composed: Flip,0,404.690280,18.151,16.657,0.171,27.211,48.723,1.499,66.061,2760,9001,98,62,NA,NA,NA,NA,NA,NA,0.348,0.465,0.348,118,158,158,NA,4355,9, 38,38.555, 65,22,0,0,15,0,0,0,0,72,0,42,0,0,0,0,0,16,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,7392,0x000001665E7D7240,0,0,Composed: Flip,0,404.709228,18.947,17.255,0.154,27.179,47.030,1.434,65.179,2760,9001,98,62,NA,NA,NA,NA,NA,NA,0.334,0.445,0.334,118,158,158,NA,4355,9, 38,38.555, 65,22,0,0,15,0,0,0,0,72,0,42,0,0,0,0,0,16,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,7392,0x000001665E7D7240,0,0,Composed: Flip,0,404.727505,18.277,16.064,0.165,27.619,44.817,1.511,62.695,2760,9001,98,62,NA,NA,NA,NA,NA,NA,0.346,0.461,0.346,118,158,158,NA,4355,9, 38,38.555, 65,22,0,0,15,0,0,0,0,72,0,42,0,0,0,0,0,16,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
