Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,20540,0x000002B893950920,0,512,Hardware Composed: Independent Flip,0,216.346456,12.490,12.304,0.248,2.410,2.475,0.193,44.955,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.530,0.720,0.530,111,151,151,NA,4441,12, 37,37.379, 65,23,1,15,1,1,1,1,1,71,1,70,1,1,1,1,1,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,20540,0x000002B893950920,0,512,Hardware Composed: Independent Flip,0,216.358751,12.295,12.194,0.118,1.691,2.374,0.138,57.149,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.538,0.731,0.538,111,151,151,NA,4441,12, 37,37.379, 65,23,1,15,1,1,1,1,1,71,1,70,1,1,1,1,1,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,20540,0x000002B893950920,0,512,Composed: Flip,0,216.370768,12.017,66.229,0.158,2.927,56.585,0.244,98.538,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.550,0.748,0.550,111,151,151,NA,4441,12, 37,37.379, 65,23,1,15,1,1,1,1,1,71,1,70,1,1,1,1,1,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,20540,0x000002B893950920,0,512,Composed: Flip,1,216.382960,12.191,0.000,0.091,38.829,0.000,3.185,NA,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.543,0.738,0.543,111,151,151,NA,4441,12, 37,37.379, 65,23,1,15,1,1,1,1,1,71,1,70,1,1,1,1,1,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,20540,0x000002B893950920,0,512,Composed: Flip,0,216.419660,36.700,16.643,0.206,4.777,24.336,0.130,90.363,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.180,0.245,0.180,111,151,151,NA,4441,12, 37,37.379, 65,23,1,15,1,1,1,1,1,71,1,70,1,1,1,1,1,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,20540,0x000002B893950920,0,512,Composed: Flip,0,216.431936,12.276,8.337,0.154,1.947,20.397,0.159,98.700,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.539,0.732,0.539,111,151,151,NA,4441,12, 37,37.379, 65,23,1,15,1,1,1,1,1,71,1,70,1,1,1,1,1,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,20540,0x000002B893950920,0,512,Composed: Flip,0,216.447593,15.656,16.609,0.171,2.456,21.350,0.157,90.524,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.423,0.574,0.423,111,151,151,NA,4441,12, 37,37.379, 65,23,1,15,1,1,1,1,1,71,1,70,1,1,1,1,1,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,20540,0x000002B893950920,0,512,Composed: Flip,0,216.459854,12.261,16.731,0.131,1.684,25.820,0.137,107.255,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.540,0.733,0.540,111,151,151,NA,4441,12, 37,37.379, 65,23,1,15,1,1,1,1,1,71,1,70,1,1,1,1,1,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,20540,0x000002B893950920,0,512,Composed: Flip,0,216.474261,14.408,8.323,0.149,2.379,19.736,0.165,90.933,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.459,0.624,0.459,111,151,151,NA,4441,12, 37,37.379, 65,23,1,15,1,1,1,1,1,71,1,70,1,1,1,1,1,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,20540,0x000002B893950920,0,512,Composed: Flip,0,216.486508,12.247,16.669,0.140,2.318,24.158,0.189,107.603,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.540,0.734,0.540,111,151,151,NA,4441,12, 37,37.379, 65,23,1,15,1,1,1,1,1,71,1,70,1,1,1,1,1,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,20540,0x000002B893950920,0,512,Composed: Flip,0,216.501626,15.117,16.621,0.167,2.827,25.661,0.187,99.588,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.438,0.595,0.438,111,151,151,NA,4441,12, 37,37.379, 65,23,1,15,1,1,1,1,1,71,1,70,1,1,1,1,1,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,20540,0x000002B893950920,0,512,Composed: Flip,0,216.513904,12.278,8.325,0.117,2.127,21.708,0.173,107.913,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.539,0.732,0.539,111,151,151,NA,4441,12, 41,41.262, 65,23,1,15,1,1,1,1,1,71,1,70,1,1,1,1,1,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,20540,0x000002B893950920,0,512,Composed: Flip,0,216.528486,14.582,16.683,0.127,2.368,23.809,0.162,99.952,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.454,0.617,0.454,111,151,151,NA,4441,12, 41,41.262, 65,23,1,15,1,1,1,1,1,71,1,70,1,1,1,1,1,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,20540,0x000002B893950920,0,512,Composed: Flip,0,216.540746,12.259,8.445,0.133,1.529,19.994,0.125,108.396,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.540,0.733,0.540,111,151,151,NA,4441,12, 41,41.262, 65,23,1,15,1,1,1,1,1,71,1,70,1,1,1,1,1,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,20540,0x000002B893950920,0,512,Composed: Flip,0,216.556016,15.271,16.590,0.152,2.050,21.313,0.134,100.400,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.433,0.589,0.433,111,151,151,NA,4441,12, 41,41.262, 65,23,1,15,1,1,1,1,1,71,1,70,1,1,1,1,1,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,20540,0x000002B893950920,0,512,Composed: Flip,0,216.568287,12.271,16.725,0.142,1.819,25.767,0.148,117.125,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.539,0.733,0.539,111,151,151,NA,4441,12, 41,41.262, 65,23,1,15,1,1,1,1,1,71,1,70,1,1,1,1,1,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,20540,0x000002B893950920,0,512,Composed: Flip,0,216.582815,14.527,8.203,0.279,2.230,19.443,0.153,100.651,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.455,0.619,0.455,111,151,151,NA,4441,12, 41,41.262, 65,23,1,15,1,1,1,1,1,71,1,70,1,1,1,1,1,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,20540,0x000002B893950920,0,512,Composed: Flip,0,216.595245,12.430,16.683,0.141,1.150,23.696,0.092,117.334,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.532,0.723,0.532,111,151,151,NA,4441,12, 41,41.262, 65,23,1,15,1,1,1,1,1,71,1,70,1,1,1,1,1,15,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
