Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,0,10852,0x000001FB7E41BA60,0,0,Hardware Composed: Independent Flip,0,1554.049674,33.701,33.373,28.423,28.613,28.686,0.849,NA,1065,5001,37,49,NA,NA,NA,NA,NA,NA,0.800,1.935,0.800,15,37,37,NA,3966,4, 28,21.836, 65,3,0,1,1,0,0,0,0,25,0,6,0,0,0,0,0,14,13,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1554.082808,33.134,72.713,28.609,28.712,68.265,0.867,NA,1065,5001,37,49,NA,NA,NA,NA,NA,NA,0.814,1.968,0.814,15,37,37,NA,3966,4, 28,21.836, 65,3,0,1,1,0,0,0,0,25,0,6,0,0,0,0,0,14,13,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1554.116579,33.771,16.618,28.157,29.783,51.112,0.882,NA,1065,5001,37,49,NA,NA,NA,NA,NA,NA,0.799,1.931,0.799,15,37,37,NA,3966,4, 28,21.836, 65,3,0,1,1,0,0,0,0,25,0,6,0,0,0,0,0,14,13,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1554.148805,32.226,33.346,29.269,29.380,52.232,0.912,NA,1065,5001,37,49,NA,NA,NA,NA,NA,NA,0.837,2.024,0.837,15,37,37,NA,3966,4, 28,21.836, 65,3,0,1,1,0,0,0,0,25,0,6,0,0,0,0,0,14,13,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1554.182148,33.343,33.329,29.263,29.361,52.219,0.881,NA,1065,5001,37,49,NA,NA,NA,NA,NA,NA,0.809,1.956,0.809,15,37,37,NA,3966,4, 28,21.836, 65,3,0,1,1,0,0,0,0,25,0,6,0,0,0,0,0,14,13,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1554.214868,32.719,33.332,29.856,29.976,52.832,0.916,NA,1065,5001,37,49,NA,NA,NA,NA,NA,NA,0.824,1.993,0.824,15,37,37,NA,3966,4, 31,28.841, 65,3,0,1,1,0,0,0,0,25,0,6,0,0,0,0,0,14,13,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1554.248733,33.865,33.324,29.319,29.441,52.290,0.869,NA,1065,5001,37,49,NA,NA,NA,NA,NA,NA,0.797,1.926,0.797,15,37,37,NA,3966,4, 31,28.841, 65,3,0,1,1,0,0,0,0,25,0,6,0,0,0,0,0,14,13,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1554.281628,32.895,33.334,29.779,29.890,52.728,0.909,NA,1050,5001,37,49,NA,NA,NA,NA,NA,NA,0.822,1.991,0.822,15,37,37,NA,3971,4, 31,28.841, 65,0,0,0,0,0,0,0,0,25,0,8,0,0,0,0,0,13,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1554.315837,34.209,33.331,28.929,29.015,51.850,0.848,NA,1050,5001,37,49,NA,NA,NA,NA,NA,NA,0.790,1.915,0.790,15,37,37,NA,3971,4, 31,28.841, 65,0,0,0,0,0,0,0,0,25,0,8,0,0,0,0,0,13,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1554.348648,32.811,33.331,29.423,29.525,52.370,0.900,NA,1050,5001,37,49,NA,NA,NA,NA,NA,NA,0.824,1.996,0.824,15,37,37,NA,3971,4, 31,28.841, 65,0,0,0,0,0,0,0,0,25,0,8,0,0,0,0,0,13,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
