Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,2560x1440,D3D12,0,10852,0x000001FB7E41BA60,0,0,Hardware Composed: Independent Flip,0,1482.245584,34.387,87.283,28.269,28.408,82.437,0.826,NA,1710,9001,37,44,NA,NA,NA,NA,NA,NA,0.572,1.250,0.572,23,50,50,NA,4081,5, 29,22.936, 65,1,1,1,1,1,1,1,1,19,1,24,1,1,1,1,1,13,10,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1482.278293,32.709,16.694,36.155,36.144,66.421,1.105,NA,1710,9001,37,44,NA,NA,NA,NA,NA,NA,0.602,1.314,0.602,23,50,50,NA,4081,5, 29,22.936, 65,1,1,1,1,1,1,1,1,19,1,24,1,1,1,1,1,13,10,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1482.319301,41.008,16.624,21.175,21.260,42.037,0.518,NA,1710,9001,37,44,NA,NA,NA,NA,NA,NA,0.480,1.048,0.480,23,50,50,NA,4081,5, 29,22.936, 65,1,1,1,1,1,1,1,1,19,1,24,1,1,1,1,1,13,10,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1482.343889,24.588,33.314,29.951,30.011,50.763,1.221,NA,1710,9001,37,44,NA,NA,NA,NA,NA,NA,0.801,1.748,0.801,23,50,50,NA,4081,5, 30,28.492, 65,1,1,1,1,1,1,1,1,19,1,24,1,1,1,1,1,13,10,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1482.377892,34.003,33.333,29.261,29.344,50.093,0.863,NA,1710,9001,37,44,NA,NA,NA,NA,NA,NA,0.579,1.264,0.579,23,50,50,NA,4081,5, 30,28.492, 65,1,1,1,1,1,1,1,1,19,1,24,1,1,1,1,1,13,10,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1482.410990,33.097,33.324,29.535,29.589,50.320,0.894,NA,1710,9001,37,44,NA,NA,NA,NA,NA,NA,0.595,1.299,0.595,23,50,50,NA,4081,5, 30,28.492, 65,1,1,1,1,1,1,1,1,19,1,24,1,1,1,1,1,13,10,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1482.444565,33.575,33.322,29.282,29.359,50.067,0.874,NA,1710,9001,37,44,NA,NA,NA,NA,NA,NA,0.586,1.280,0.586,23,50,50,NA,4081,5, 30,28.492, 65,1,1,1,1,1,1,1,1,19,1,24,1,1,1,1,1,13,10,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1482.478022,33.457,33.321,29.137,29.210,49.931,0.873,NA,1710,9001,37,44,NA,NA,NA,NA,NA,NA,0.588,1.285,0.588,23,50,50,NA,4081,5, 30,28.492, 65,1,1,1,1,1,1,1,1,19,1,24,1,1,1,1,1,13,10,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1482.511216,33.195,33.329,29.263,29.340,50.065,0.884,NA,1710,9001,37,44,NA,NA,NA,NA,NA,NA,0.593,1.295,0.593,23,50,50,NA,4081,5, 30,28.492, 65,1,1,1,1,1,1,1,1,19,1,24,1,1,1,1,1,13,10,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1482.543983,32.767,33.345,29.848,29.906,50.644,0.913,NA,1710,9001,37,44,NA,NA,NA,NA,NA,NA,0.601,1.312,0.601,23,50,50,NA,4081,5, 30,24.783, 65,1,1,1,1,1,1,1,1,19,1,24,1,1,1,1,1,13,10,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
