Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,12204,0x000002BA06564950,0,0,Hardware Composed: Independent Flip,0,1160.712954,7.002,10.004,0.167,11.616,14.633,1.659,NA,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.882,1.181,0.882,120,161,161,NA,4306,13, 38,42.847, 65,28,0,23,0,19,0,17,0,66,0,67,0,0,0,0,0,18,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,12204,0x000002BA06564950,0,0,Hardware Composed: Independent Flip,0,1160.720869,7.915,3.931,0.172,10.572,10.648,1.336,NA,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.781,1.045,0.781,120,161,161,NA,4306,13, 38,42.847, 65,28,0,23,0,19,0,17,0,66,0,67,0,0,0,0,0,18,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,12204,0x000002BA06564950,0,0,Hardware Composed: Independent Flip,0,1160.728360,7.491,8.642,0.185,11.704,11.800,1.562,NA,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.825,1.104,0.825,120,161,161,NA,4306,13, 38,42.847, 65,28,0,23,0,19,0,17,0,66,0,67,0,0,0,0,0,18,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,12204,0x000002BA06564950,0,0,Hardware Composed: Independent Flip,0,1160.734547,6.187,83.206,0.161,12.854,88.819,2.078,NA,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.999,1.337,0.999,120,161,161,NA,4306,13, 38,42.847, 65,28,0,23,0,19,0,17,0,66,0,67,0,0,0,0,0,18,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12204,0x000002BA06564950,0,0,Composed: Flip,0,1160.743753,9.206,8.384,0.229,10.194,87.998,1.107,NA,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.671,0.899,0.671,120,161,161,NA,4306,13, 38,42.847, 65,28,0,23,0,19,0,17,0,66,0,67,0,0,0,0,0,18,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12204,0x000002BA06564950,0,0,Composed: Flip,0,1160.751697,7.944,16.598,0.178,75.388,96.652,9.490,NA,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.778,1.041,0.778,120,161,161,NA,4306,13, 38,42.847, 65,28,0,23,0,19,0,17,0,66,0,67,0,0,0,0,0,18,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12204,0x000002BA06564950,0,0,Composed: Flip,0,1160.757391,5.694,8.319,0.157,77.403,99.277,13.593,NA,2775,9001,99,62,NA,NA,NA,NA,NA,NA,1.085,1.453,1.085,120,161,161,NA,4306,13, 38,42.847, 65,28,0,23,0,19,0,17,0,66,0,67,0,0,0,0,0,18,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12204,0x000002BA06564950,0,0,Composed: Flip,0,1160.831723,74.332,8.330,0.216,10.998,33.275,0.148,NA,2760,9001,99,63,NA,NA,NA,NA,NA,NA,0.085,0.114,0.085,117,158,158,NA,4304,14, 38,42.847, 65,28,0,25,0,20,0,17,0,85,0,52,0,0,0,0,0,19,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12204,0x000002BA06564950,0,0,Composed: Flip,0,1160.838400,6.677,8.344,0.218,12.849,34.942,1.924,NA,2760,9001,99,63,NA,NA,NA,NA,NA,NA,0.943,1.270,0.943,117,158,158,NA,4304,14, 38,42.847, 65,28,0,25,0,20,0,17,0,85,0,52,0,0,0,0,0,19,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12204,0x000002BA06564950,0,0,Composed: Flip,0,1160.846140,7.739,8.321,0.155,12.238,35.524,1.581,NA,2760,9001,99,63,NA,NA,NA,NA,NA,NA,0.813,1.096,0.813,117,158,158,NA,4304,14, 38,42.847, 65,28,0,25,0,20,0,17,0,85,0,52,0,0,0,0,0,19,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
